"strain","sample","name","lineage","vni_subdivision","mating_type","country_of_origin","isolation_source","broad_project","sra_accession","strain_description","in_gwas","phenotyped","source","dataset","species_id_from_mash_anlaysis","study","hiv_status","continent_of_origin","year_of_origin","mean_depth_of_mapping_with_mq_._30_across_whole_genome","proportion_of_genome_covered_by_at_least_5_reads_which_mapped_with_mq_._30","run"
"MW-RSA1327","SRS520177","Cryptococcus neoformans var. grubii MW-RSA1327","VNII","","α","S. Africa","Clinical","G29897","SRX400063, SRX400064","Van Wyk et al  2014 J. Clin. Microbiol.","No","No","Clinical","Desjardins","","","","",NA,NA,NA,NA
"MW-RSA3834","SRS520178","Cryptococcus neoformans var. grubii MW-RSA3834","VNI","VNIc","α","S. Africa","Clinical","G29899","SRX400065, SRX400066","Van Wyk et al  2014 J. Clin. Microbiol.","No","No","Clinical","Desjardins","","","","",NA,NA,NA,"SRR1063265"
"MW-RSA3956","SRS520179","Cryptococcus neoformans var. grubii MW-RSA3956","VNII","","α","S. Africa","Clinical","G29898","SRX400068, SRX400067","Van Wyk et al  2014 J. Clin. Microbiol.","No","No","Clinical","Desjardins","","","","",NA,NA,NA,NA
"MW-RSA524","SRS520180","Cryptococcus neoformans var. grubii MW-RSA524","VNI","VNIc","α","S. Africa","Clinical","G29896","SRX400069, SRX400070","Van Wyk et al  2014 J. Clin. Microbiol.","No","No","Clinical","Desjardins","","","","",NA,NA,NA,"SRR1063269"
"MW-RSA913","SRS520181","Cryptococcus neoformans var. grubii MW-RSA913","VNBII","","α","S. Africa","Clinical","G27190","SRX400073, SRX400071, SRX400072","Van Wyk et al  2014 J. Clin. Microbiol.","Yes","Yes","Clinical","Desjardins","","","","",NA,NA,NA,NA
"WM626","SRS520182","Cryptococcus neoformans var. grubii WM626 (MMRL 3150)","VNII","","α","Australia ","Clinical ","G26034","SRX400075, SRX400076","Litvintseva et al 2006 Genetics, Meyer et al 2009 Med Mycol","No","No","Clinical","Desjardins","","","","",NA,NA,NA,NA
"TCl-11","SRS520184","Cryptococcus sp. TCl-11","VNI","VNIb","α","Togo","Clinical","G29901","SRX400077, SRX400078","This study","No","No","Clinical","Desjardins","","","","",NA,NA,NA,"SRR1063286"
"TCl-14","SRS520185","Cryptococcus sp. TCl-14","VNI","VNIb","α","Togo","Clinical","G29902","SRX400080, SRX400079","This study","No","No","Clinical","Desjardins","","","","",NA,NA,NA,"SRR1063288"
"04CN-03-001","ERS2541303","04CN-03-001","VNI","VNIa-5","","Vietnam","","","ERR2624232","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,33.7189719,0.989580171,NA
"04CN-03-002","ERS2541302","04CN-03-002","VNI","VNIa-4","","Vietnam","","","ERR2624486","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,45.67383553,0.987501425,NA
"04CN-03-003","ERS2541293","04CN-03-003","VNI","VNIa-4","","Vietnam","","","ERR2624426","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,41.32455833,0.984590015,NA
"04CN-03-004","ERS2541301","04CN-03-004","VNI","VNIa-4","","Vietnam","","","ERR2624478","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,35.96271342,0.98443931,NA
"04CN-03-006","ERS2541292","04CN-03-006","VNI","VNIa-4","","Vietnam","","","ERR2624325","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,52.00684303,0.986301553,NA
"04CN-03-008","ERS2540976","04CN-03-008","VNI","VNIa-4","","Vietnam","","","ERR2624146","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,46.87759566,0.984965269,NA
"04CN-03-009","ERS2541326","04CN-03-009","VNI","VNIa-5","","Vietnam","","","ERR2624169","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,51.42603577,0.991281652,NA
"04CN-03-011","ERS2541116","04CN-03-011","VNI","VNIa-4","","Vietnam","","","ERR2624104","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,37.67171994,0.985122009,NA
"04CN-03-012","ERS2541111","04CN-03-012","VNI","VNIa-5","","Vietnam","","","ERR2624108","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,34.75912051,0.990836471,NA
"04CN-03-013","ERS2541099","04CN-03-013","VNI","VNIa-4","","Vietnam","","","ERR2624313","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,34.22109276,0.983817697,NA
"04CN-03-014","ERS2541088","04CN-03-014","VNI","VNIa-5","","Vietnam","","","ERR2624121","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,35.05007683,0.989882428,NA
"04CN-03-015","ERS2541157","04CN-03-015","VNI","VNIa-4","","Vietnam","","","ERR2624355","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,80.9273805,0.987420276,NA
"04CN-03-016","ERS2541249","04CN-03-016","VNI","VNIa-5","","Vietnam","","","ERR2624105","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,49.41777314,0.991538544,NA
"04CN-03-017","ERS2541283","04CN-03-017","VNI","VNIa-4","","Vietnam","","","ERR2624408","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,53.32085009,0.987446055,NA
"04CN-03-020","ERS2541164","04CN-03-020","VNI","VNIa-5","","Vietnam","","","ERR2624327","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,45.07062487,0.991446014,NA
"04CN-03-021","ERS2541154","04CN-03-021","VNI","VNIa-5","","Vietnam","","","ERR2624502","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,34.64787512,0.989959554,NA
"04CN-03-022","ERS2541334","04CN-03-022","VNI","VNIa-5","","Vietnam","","","ERR2624124","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,40.36182458,0.990037209,NA
"04CN-03-024","ERS2541115","04CN-03-024","VNI","VNIa-5","","Vietnam","","","ERR2624401","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,47.27919989,0.991789402,NA
"04CN-03-028","ERS2541171","04CN-03-028","VNI","VNIa-4","","Vietnam","","","ERR2624298","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,41.91672299,0.986468509,NA
"04CN-03-031","ERS2541256","04CN-03-031","VNI","","","Vietnam","","","ERR2624093","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99/Cryptococcus neoformans var. neoformans JEC21 hybrid","Ashton","positive","Asia",2013,45.69373327,0.975470422,NA
"04CN-03-032","ERS2541098","04CN-03-032","VNI","VNIa-4","","Vietnam","","","ERR2624348","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,36.51484245,0.986492965,NA
"04CN-03-036","ERS2541270","04CN-03-036","VNI","VNIa-93","","Vietnam","","","ERR2624474","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,34.03583257,0.988525023,NA
"04CN-03-037","ERS2541244","04CN-03-037","VNI","VNIa-4","","Vietnam","","","ERR2624424","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,44.59353345,0.986487619,NA
"04CN-03-038","ERS2541136","04CN-03-038","VNI","VNIa-93","","Vietnam","","","ERR2624120","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,54.25955825,0.988905994,NA
"04CN-03-039","ERS2541212","04CN-03-039","VNI","VNIa-5","","Vietnam","","","ERR2624354","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,47.52209434,0.991830373,NA
"04CN-03-040","ERS2541275","04CN-03-040","VNI","VNIa-4","","Vietnam","","","ERR2624443","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,35.26110193,0.983230757,NA
"04CN-03-042","ERS2541226","04CN-03-042","VNI","VNIa-32","","Vietnam","","","ERR2624365","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,46.10854116,0.989784658,NA
"04CN-03-046","ERS2541216","04CN-03-046","VNI","VNIa-4","","Vietnam","","","ERR2624453","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,38.56631574,0.983741948,NA
"04CN-03-047","ERS2541331","04CN-03-047","VNI","VNIa-5","","Vietnam","","","ERR2624393","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,59.44547425,0.992370572,NA
"04CN-03-049","ERS2541184","04CN-03-049","VNI","VNIa-93","","Vietnam","","","ERR2624258","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,52.50613675,0.988518512,NA
"04CN-03-050","ERS2541121","04CN-03-050","VNI","VNIa-93","","Vietnam","","","ERR2624188","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,36.21157478,0.98685038,NA
"04CN-03-051","ERS2541178","04CN-03-051","VNI","VNIa-5","","Vietnam","","","ERR2624138","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,42.21628025,0.989483936,NA
"04CN-03-052","ERS2541267","04CN-03-052","VNI","VNIa-4","","Vietnam","","","ERR2624273","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,36.35462451,0.985853567,NA
"04CN-03-053","ERS2541138","04CN-03-053","VNI","VNIa-5","","Vietnam","","","ERR2624176","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,31.98211129,0.987316153,NA
"04CN-03-056","ERS2541117","04CN-03-056","VNI","VNIa-4","","Vietnam","","","ERR2624119","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,35.1724268,0.98552209,NA
"04CN-03-058","ERS2541150","04CN-03-058","VNI","VNIa-5","","Vietnam","","","ERR2624388","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,70.88094796,0.992168996,NA
"04CN-03-059","ERS2541259","04CN-03-059","VNI","VNIa-4","","Vietnam","","","ERR2624445","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,40.97957641,0.984918581,NA
"04CN-03-061","ERS2541148","04CN-03-061","VNI","VNIa-4","","Vietnam","","","ERR2624187","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,31.21851362,0.984587051,NA
"04CN-03-062","ERS2541196","04CN-03-062","VNI","VNIa-93","","Vietnam","","","ERR2624411","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,31.22508351,0.987013472,NA
"04CN-03-063","ERS2541234","04CN-03-063","VNI","VNIa-5","","Vietnam","","","ERR2624489","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,45.38857747,0.989800538,NA
"04CN-03-064","ERS2541225","04CN-03-064","VNI","VNIa-4","","Vietnam","","","ERR2624283","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,34.9817931,0.985055735,NA
"04CN-03-067","ERS2541204","04CN-03-067","VNI","VNIa-4","","Vietnam","","","ERR2624488","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,31.4653128,0.985604456,NA
"04CN-03-068","ERS2541094","04CN-03-068","VNI","VNIa-4","","Vietnam","","","ERR2624333","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,32.66077034,0.984219843,NA
"04CN-03-069","ERS2541229","04CN-03-069","VNI","VNIa-5","","Vietnam","","","ERR2624125","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,32.62862393,0.988640474,NA
"04CN-03-072","ERS2541147","04CN-03-072","VNI","VNIa-93","","Vietnam","","","ERR2624091","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,57.74302978,0.98803416,NA
"04CN-03-073","ERS2541211","04CN-03-073","VNI","VNIa-5","","Vietnam","","","ERR2624155","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,40.7932561,0.990775596,NA
"04CN-03-074","ERS2541170","04CN-03-074","VNI","VNII","","Vietnam","","","ERR2624467","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,43.47226493,0.965881774,NA
"04CN-03-075","ERS2541288","04CN-03-075","VNI","VNIa-4","","Vietnam","","","ERR2624459","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,37.08169743,0.984840608,NA
"04CN-03-076","ERS2541194","04CN-03-076","VNI","VNIa-5","","Vietnam","","","ERR2624199","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,41.94446026,0.990612398,NA
"04CN-03-077","ERS2541181","04CN-03-077","VNI","VNIa-5","","Vietnam","","","ERR2624464","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,41.61587349,0.988232135,NA
"04CN-03-078","ERS2541266","04CN-03-078","VNI","VNIa-4","","Vietnam","","","ERR2624305","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,45.50812132,0.986898763,NA
"04CN-03-081","ERS2541251","04CN-03-081","VNI","VNIa-5","","Vietnam","","","ERR2624110","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,35.56913907,0.987966721,NA
"04CN-03-082","ERS2541146","04CN-03-082","VNI","VNIa-4","","Vietnam","","","ERR2624412","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,46.97325267,0.986389901,NA
"04CN-03-084","ERS2541180","04CN-03-084","VNI","VNIa-4","","Vietnam","","","ERR2624241","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,42.79088266,0.985394093,NA
"04CN-03-085","ERS2541190","04CN-03-085","VNI","VNIa-4","","Vietnam","","","ERR2624248","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,33.45177867,0.985228514,NA
"04CN-03-086","ERS2541120","04CN-03-086","VNI","VNIa-4","","Vietnam","","","ERR2624460","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,55.8373594,0.985965524,NA
"04CN-03-087","ERS2541093","04CN-03-087","VNI","VNIa-4","","Vietnam","","","ERR2624435","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,41.61070241,0.986333314,NA
"04CN-03-088","ERS2541130","04CN-03-088","VNI","VNII","","Vietnam","","","ERR2624180","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,45.05761537,0.96687954,NA
"04CN-03-089","ERS2541142","04CN-03-089","VNI","VNIa-5","","Vietnam","","","ERR2624234","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,39.10725003,0.989095342,NA
"04CN-03-090","ERS2541205","04CN-03-090","VNI","VNIa-5","","Vietnam","","","ERR2624389","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,38.39483864,0.990798993,NA
"04CN-03-091","ERS2541085","04CN-03-091","VNI","VNIa-5","","Vietnam","","","ERR2624378","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,38.99763636,0.989543381,NA
"04CN-03-092","ERS2541250","04CN-03-092","VNI","VNIa-4","","Vietnam","","","ERR2624143","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,32.51205951,0.985441047,NA
"04CN-03-093","ERS2541248","04CN-03-093","VNI","VNIa-4","","Vietnam","","","ERR2624129","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,54.43812432,0.986861709,NA
"04CN-03-094","ERS2541271","04CN-03-094","VNI","VNIa-5","","Vietnam","","","ERR2624303","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,50.27276017,0.990088768,NA
"04CN-03-095","ERS2541104","04CN-03-095","VNI","VNIa-4","","Vietnam","","","ERR2624179","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,40.38017498,0.985184578,NA
"04CN-03-098","ERS2541177","04CN-03-098","VNI","VNIa-4","","Vietnam","","","ERR2624160","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,45.90296039,0.98396168,NA
"04CN-03-099","ERS2541232","04CN-03-099","VNI","VNIa-5","","Vietnam","","","ERR2624332","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,44.24136681,0.990183627,NA
"04CN-03-100","ERS2541160","04CN-03-100","VNI","VNIa-4","","Vietnam","","","ERR2624094","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,39.19760695,0.984078242,NA
"04CN-03-101","ERS2541113","04CN-03-101","VNI","VNIa-93","","Vietnam","","","ERR2624117","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,47.27284936,0.98879102,NA
"04CN-03-102","ERS2541084","04CN-03-102","VNI","VNIa-5","","Vietnam","","","ERR2624128","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,54.09783162,0.990735471,NA
"04CN-11-001","ERS2541289","04CN-11-001","VNI","VNIa-4","","Vietnam","","","ERR2624366","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,59.69169549,0.98670788,NA
"04CN-11-003","ERS2541268","04CN-11-003","VNI","VNIa-4","","Vietnam","","","ERR2624431","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,53.67010411,0.986506199,NA
"04CN-11-004","ERS2541236","04CN-11-004","VNI","VNIa-5","","Vietnam","","","ERR2624197","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,38.15415056,0.990258582,NA
"04CN-11-005","ERS2541108","04CN-11-005","VNI","VNIa-4","","Vietnam","","","ERR2624475","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,35.54479603,0.985217927,NA
"04CN-11-006","ERS2541213","04CN-11-006","VNI","VNIa-4","","Vietnam","","","ERR2624420","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,45.50656563,0.986603334,NA
"04CN-11-007","ERS2541163","04CN-11-007","VNI","VNIa-4","","Vietnam","","","ERR2624255","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,56.34947253,0.987861169,NA
"04CN-11-008","ERS2541186","04CN-11-008","VNI","VNIa-4","","Vietnam","","","ERR2624330","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,39.36795728,0.985461532,NA
"04CN-11-009","ERS2541238","04CN-11-009","VNI","VNIa-5","","Vietnam","","","ERR2624363","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,53.51816664,0.991265877,NA
"04CN-11-010","ERS2541219","04CN-11-010","VNI","VNIa-4","","Vietnam","","","ERR2624376","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,44.74559039,0.987411118,NA
"04CN-11-011","ERS2541286","04CN-11-011","VNI","VNIa-4","","Vietnam","","","ERR2624153","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,55.78406816,0.987104573,NA
"04CN-11-012","ERS2541141","04CN-11-012","VNI","VNIa-4","","Vietnam","","","ERR2624206","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,44.34455871,0.984082583,NA
"04CN-11-013","ERS2541140","04CN-11-013","VNI","VNIa-93","","Vietnam","","","ERR2624149","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,44.2607406,0.987225211,NA
"04CN-11-014","ERS2541135","04CN-11-014","VNI","VNIa-4","","Vietnam","","","ERR2624392","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,36.55891505,0.985126403,NA
